assay_description,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,molecule_properties,pKi
Inhibition of human recombinant AChE,CHEMBL1150386,CHEMBL175949,nM,5.15,pM,5150.0,"{'alogp': '7.76', 'aromatic_rings': 4, 'full_molformula': 'C35H42N4OS', 'full_mwt': '566.82', 'hba': 5, 'hbd': 1, 'heavy_atoms': 41, 'mw_freebase': '566.82', 'np_likeness_score': '-0.83', 'num_ro5_violations': 2, 'psa': '58.12', 'qed_weighted': '0.15', 'ro3_pass': 'N', 'rtb': 11}",8.288192770958808
Inhibition of human recombinant AChE,CHEMBL1150386,CHEMBL175555,nM,3.99,pM,3990.0,"{'alogp': '7.85', 'aromatic_rings': 4, 'full_molformula': 'C34H42N4S', 'full_mwt': '538.81', 'hba': 5, 'hbd': 1, 'heavy_atoms': 39, 'mw_freebase': '538.81', 'np_likeness_score': '-0.87', 'num_ro5_violations': 2, 'psa': '41.05', 'qed_weighted': '0.16', 'ro3_pass': 'N', 'rtb': 11}",8.399027104313252
Inhibition of human recombinant AChE,CHEMBL1150386,CHEMBL179192,nM,13.37,pM,13370.0,"{'alogp': '7.37', 'aromatic_rings': 4, 'full_molformula': 'C34H40N4OS', 'full_mwt': '552.79', 'hba': 5, 'hbd': 1, 'heavy_atoms': 40, 'mw_freebase': '552.79', 'np_likeness_score': '-0.84', 'num_ro5_violations': 2, 'psa': '58.12', 'qed_weighted': '0.16', 'ro3_pass': 'N', 'rtb': 10}",7.873868592738016
Inhibition of human recombinant AChE,CHEMBL1150386,CHEMBL338755,nM,0.54,pM,540.0,"{'alogp': '6.78', 'aromatic_rings': 4, 'full_molformula': 'C33H41N5', 'full_mwt': '507.73', 'hba': 5, 'hbd': 2, 'heavy_atoms': 38, 'mw_freebase': '507.73', 'np_likeness_score': '-0.64', 'num_ro5_violations': 2, 'psa': '53.08', 'qed_weighted': '0.23', 'ro3_pass': 'N', 'rtb': 10}",9.267606240177031
Inhibition of human AChE assessed as carbamylation,CHEMBL1150386,CHEMBL636,/min/M,3300.0,/min/M,3300.0,"{'alogp': '2.76', 'aromatic_rings': 1, 'full_molformula': 'C14H22N2O2', 'full_mwt': '250.34', 'hba': 3, 'hbd': 0, 'heavy_atoms': 18, 'mw_freebase': '250.34', 'np_likeness_score': '-0.98', 'num_ro5_violations': 0, 'psa': '32.78', 'qed_weighted': '0.82', 'ro3_pass': 'N', 'rtb': 4}",5.481486060122113
Binding affinity to AChE (unknown origin) assessed as inhibition constant,CHEMBL5233206,CHEMBL636,nM,700.0,uM,0.7,"{'alogp': '2.76', 'aromatic_rings': 1, 'full_molformula': 'C14H22N2O2', 'full_mwt': '250.34', 'hba': 3, 'hbd': 0, 'heavy_atoms': 18, 'mw_freebase': '250.34', 'np_likeness_score': '-0.98', 'num_ro5_violations': 0, 'psa': '32.78', 'qed_weighted': '0.82', 'ro3_pass': 'N', 'rtb': 4}",6.154901959985743
Inhibition of human AChE,CHEMBL1150386,CHEMBL1025,10'5/M/min,1.3,10'5/M/min,1.3,"{'alogp': '2.91', 'aromatic_rings': 0, 'full_molformula': 'C6H14FO3P', 'full_mwt': '184.15', 'hba': 3, 'hbd': 0, 'heavy_atoms': 11, 'mw_freebase': '184.15', 'np_likeness_score': '-0.31', 'num_ro5_violations': 0, 'psa': '35.53', 'qed_weighted': '0.63', 'ro3_pass': 'N', 'rtb': 4}",8.886056647693163
Inhibition of human AChE assessed as equilibrium binding by modified Ellman's spectrophotometric method,CHEMBL1157647,CHEMBL1025,nM,6000.0,uM,6.0,"{'alogp': '2.91', 'aromatic_rings': 0, 'full_molformula': 'C6H14FO3P', 'full_mwt': '184.15', 'hba': 3, 'hbd': 0, 'heavy_atoms': 11, 'mw_freebase': '184.15', 'np_likeness_score': '-0.31', 'num_ro5_violations': 0, 'psa': '35.53', 'qed_weighted': '0.63', 'ro3_pass': 'N', 'rtb': 4}",5.221848749616356
Inhibition of human AChE,CHEMBL1150386,CHEMBL450410,10'2/M/min,0.2,10'2/M/min,0.2,"{'alogp': '4.07', 'aromatic_rings': 1, 'full_molformula': 'C13H22NO3PS', 'full_mwt': '303.36', 'hba': 3, 'hbd': 1, 'heavy_atoms': 19, 'mw_freebase': '303.36', 'np_likeness_score': '-0.75', 'num_ro5_violations': 0, 'psa': '49.77', 'qed_weighted': '0.63', 'ro3_pass': 'N', 'rtb': 6}",9.698970004336019
Inhibition of human AChE,CHEMBL1150386,CHEMBL504888,10'3/M/min,1.9,10'3/M/min,1.9,"{'alogp': '1.06', 'aromatic_rings': 0, 'full_molformula': 'C2H8NO2PS', 'full_mwt': '141.13', 'hba': 3, 'hbd': 1, 'heavy_atoms': 7, 'mw_freebase': '141.13', 'np_likeness_score': '0.02', 'num_ro5_violations': 0, 'psa': '52.32', 'qed_weighted': '0.58', 'ro3_pass': 'Y', 'rtb': 2}",8.721246399047171
Inhibition of human AChE,CHEMBL1150386,CHEMBL483105,10'8/M/min,1.2,10'8/M/min,1.2,"{'alogp': '3.70', 'aromatic_rings': 0, 'full_molformula': 'C11H26NO2PS', 'full_mwt': '267.38', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '267.38', 'np_likeness_score': '-0.66', 'num_ro5_violations': 0, 'psa': '29.54', 'qed_weighted': '0.63', 'ro3_pass': 'N', 'rtb': 8}",8.920818753952375
Inhibition of human AChE,CHEMBL1150386,CHEMBL509554,10'7/M/min,2.7,10'7/M/min,2.7,"{'alogp': '2.20', 'aromatic_rings': 0, 'full_molformula': 'C4H10FO2P', 'full_mwt': '140.09', 'hba': 2, 'hbd': 0, 'heavy_atoms': 8, 'mw_freebase': '140.09', 'np_likeness_score': '-0.52', 'num_ro5_violations': 0, 'psa': '26.30', 'qed_weighted': '0.55', 'ro3_pass': 'Y', 'rtb': 2}",8.568636235841012
Inhibition of human recombinant AChE,CHEMBL1150386,CHEMBL507174,nM,0.0847,pM,84.7,"{'alogp': '7.72', 'aromatic_rings': 4, 'full_molformula': 'C36H45N5', 'full_mwt': '547.79', 'hba': 5, 'hbd': 2, 'heavy_atoms': 41, 'mw_freebase': '547.79', 'np_likeness_score': '-0.68', 'num_ro5_violations': 2, 'psa': '53.08', 'qed_weighted': '0.13', 'ro3_pass': 'N', 'rtb': 13}",10.072116589669292
Inhibition of human AChE by Lineweaver-Burke plot analysis,CHEMBL1138487,CHEMBL374184,nM,109.0,nM,109.0,"{'alogp': '3.95', 'aromatic_rings': 2, 'full_molformula': 'C23H27N3O3', 'full_mwt': '393.49', 'hba': 6, 'hbd': 2, 'heavy_atoms': 29, 'mw_freebase': '393.49', 'np_likeness_score': '-0.64', 'num_ro5_violations': 0, 'psa': '86.47', 'qed_weighted': '0.77', 'ro3_pass': 'N', 'rtb': 4}",6.962573502059376
Inhibition of human recombinant AChE by Lineweaver-Burke reciprocal plot analysis,CHEMBL1152433,CHEMBL3215768,nM,1.91,nM,1.91,"{'alogp': '10.14', 'aromatic_rings': 5, 'full_molformula': 'C40H46Cl6N4O2', 'full_mwt': '827.55', 'hba': 5, 'hbd': 2, 'heavy_atoms': 48, 'mw_freebase': '681.71', 'np_likeness_score': '-0.77', 'num_ro5_violations': 2, 'psa': '76.14', 'qed_weighted': '0.13', 'ro3_pass': 'N', 'rtb': 12}",8.718966632752272
Inhibition of human recombinant AChE by Ellman's method,CHEMBL1154681,CHEMBL309490,nM,85600.0,microM/L,85.6,"{'alogp': '2.58', 'aromatic_rings': 3, 'full_molformula': 'C15H10O5', 'full_mwt': '270.24', 'hba': 5, 'hbd': 3, 'heavy_atoms': 20, 'mw_freebase': '270.24', 'np_likeness_score': '1.43', 'num_ro5_violations': 0, 'psa': '90.90', 'qed_weighted': '0.63', 'ro3_pass': 'N', 'rtb': 1}",4.0675262353228465
Inhibition of human recombinant AChE by Ellman's method,CHEMBL1154681,CHEMBL28,nM,121600.0,microM/L,121.6,"{'alogp': '2.58', 'aromatic_rings': 3, 'full_molformula': 'C15H10O5', 'full_mwt': '270.24', 'hba': 5, 'hbd': 3, 'heavy_atoms': 20, 'mw_freebase': '270.24', 'np_likeness_score': '1.36', 'num_ro5_violations': 0, 'psa': '90.90', 'qed_weighted': '0.63', 'ro3_pass': 'N', 'rtb': 1}",3.915066425063284
Inhibition of human recombinant AChE by Ellman's method,CHEMBL1154681,CHEMBL150,nM,92800.0,microM/L,92.8,"{'alogp': '2.28', 'aromatic_rings': 3, 'full_molformula': 'C15H10O6', 'full_mwt': '286.24', 'hba': 6, 'hbd': 4, 'heavy_atoms': 21, 'mw_freebase': '286.24', 'np_likeness_score': '1.55', 'num_ro5_violations': 0, 'psa': '111.13', 'qed_weighted': '0.55', 'ro3_pass': 'N', 'rtb': 1}",4.032452023781138
Inhibition of human recombinant AChE by Ellman's method,CHEMBL1154681,CHEMBL50,nM,38300.0,microM/L,38.3,"{'alogp': '1.99', 'aromatic_rings': 3, 'full_molformula': 'C15H10O7', 'full_mwt': '302.24', 'hba': 7, 'hbd': 5, 'heavy_atoms': 22, 'mw_freebase': '302.24', 'np_likeness_score': '1.70', 'num_ro5_violations': 0, 'psa': '131.36', 'qed_weighted': '0.43', 'ro3_pass': 'N', 'rtb': 1}",4.416801226031377
Inhibition of human recombinant AChE by Ellman's method,CHEMBL1154681,CHEMBL164,nM,37800.0,microM/L,37.8,"{'alogp': '1.69', 'aromatic_rings': 3, 'full_molformula': 'C15H10O8', 'full_mwt': '318.24', 'hba': 8, 'hbd': 6, 'heavy_atoms': 23, 'mw_freebase': '318.24', 'np_likeness_score': '1.70', 'num_ro5_violations': 1, 'psa': '151.59', 'qed_weighted': '0.37', 'ro3_pass': 'N', 'rtb': 1}",4.422508200162775
Inhibition of human recombinant AChE by Ellman's method,CHEMBL1154681,CHEMBL31574,nM,100200.0,microM/L,100.2,"{'alogp': '2.28', 'aromatic_rings': 3, 'full_molformula': 'C15H10O6', 'full_mwt': '286.24', 'hba': 6, 'hbd': 4, 'heavy_atoms': 21, 'mw_freebase': '286.24', 'np_likeness_score': '1.33', 'num_ro5_violations': 0, 'psa': '111.13', 'qed_weighted': '0.51', 'ro3_pass': 'N', 'rtb': 1}",3.999132278468773
Inhibition of human recombinant AChE by Ellman's method,CHEMBL1154681,CHEMBL151,nM,65800.0,microM/L,65.8,"{'alogp': '2.28', 'aromatic_rings': 3, 'full_molformula': 'C15H10O6', 'full_mwt': '286.24', 'hba': 6, 'hbd': 4, 'heavy_atoms': 21, 'mw_freebase': '286.24', 'np_likeness_score': '1.50', 'num_ro5_violations': 0, 'psa': '111.13', 'qed_weighted': '0.51', 'ro3_pass': 'N', 'rtb': 1}",4.181774106386045
Inhibition of human AChE assessed as equilibrium binding by modified Ellman's spectrophotometric method,CHEMBL1157647,CHEMBL590031,nM,24000.0,uM,24.0,"{'alogp': '1.69', 'aromatic_rings': 0, 'full_molformula': 'C9H13O5P', 'full_mwt': '232.17', 'hba': 5, 'hbd': 0, 'heavy_atoms': 15, 'mw_freebase': '232.17', 'np_likeness_score': '0.71', 'num_ro5_violations': 0, 'psa': '61.83', 'qed_weighted': '0.51', 'ro3_pass': 'N', 'rtb': 1}",4.619788758288394
Inhibition of human AChE assessed as equilibrium binding by modified Ellman's spectrophotometric method,CHEMBL1157647,CHEMBL592433,nM,140000.0,uM,140.0,"{'alogp': '1.69', 'aromatic_rings': 0, 'full_molformula': 'C9H13O5P', 'full_mwt': '232.17', 'hba': 5, 'hbd': 0, 'heavy_atoms': 15, 'mw_freebase': '232.17', 'np_likeness_score': '0.71', 'num_ro5_violations': 0, 'psa': '61.83', 'qed_weighted': '0.51', 'ro3_pass': 'N', 'rtb': 1}",3.853871964321762
Inhibition of human AChE assessed as equilibrium binding by modified Ellman's spectrophotometric method,CHEMBL1157647,CHEMBL592624,nM,76000.0,uM,76.0,"{'alogp': '2.08', 'aromatic_rings': 0, 'full_molformula': 'C9H15O5P', 'full_mwt': '234.19', 'hba': 5, 'hbd': 0, 'heavy_atoms': 15, 'mw_freebase': '234.19', 'np_likeness_score': '0.29', 'num_ro5_violations': 0, 'psa': '61.83', 'qed_weighted': '0.54', 'ro3_pass': 'N', 'rtb': 2}",4.119186407719209
Inhibition of human AChE assessed as equilibrium binding by modified Ellman's spectrophotometric method,CHEMBL1157647,CHEMBL592857,nM,310000.0,uM,310.0,"{'alogp': '1.69', 'aromatic_rings': 0, 'full_molformula': 'C8H13O5P', 'full_mwt': '220.16', 'hba': 5, 'hbd': 0, 'heavy_atoms': 14, 'mw_freebase': '220.16', 'np_likeness_score': '0.30', 'num_ro5_violations': 0, 'psa': '61.83', 'qed_weighted': '0.52', 'ro3_pass': 'N', 'rtb': 2}",3.5086383061657274
Inhibition of human recombinant AChE-mediated hydrolysis of acetylcholine by Lineweaver-Burke plot analysis,CHEMBL1157624,CHEMBL599644,nM,61.1,nM,61.1,"{'alogp': '7.57', 'aromatic_rings': 3, 'full_molformula': 'C36H44N2O2', 'full_mwt': '536.76', 'hba': 4, 'hbd': 0, 'heavy_atoms': 40, 'mw_freebase': '536.76', 'np_likeness_score': '-0.76', 'num_ro5_violations': 2, 'psa': '32.78', 'qed_weighted': '0.18', 'ro3_pass': 'N', 'rtb': 12}",7.213958789757446
Inhibition of human recombinant AChE by modified Ellman's spectrophotometric method,CHEMBL1157634,CHEMBL590298,nM,89300.0,uM,89.3,"{'alogp': '3.37', 'aromatic_rings': 2, 'full_molformula': 'C13H10N2OS', 'full_mwt': '242.30', 'hba': 2, 'hbd': 1, 'heavy_atoms': 17, 'mw_freebase': '242.30', 'np_likeness_score': '-0.82', 'num_ro5_violations': 0, 'psa': '46.33', 'qed_weighted': '0.77', 'ro3_pass': 'N', 'rtb': 0}",4.049148541111453
Inhibition of human recombinant AChE by modified Ellman's spectrophotometric method,CHEMBL1157634,CHEMBL606338,nM,9360.0,uM,9.36,"{'alogp': '3.63', 'aromatic_rings': 2, 'full_molformula': 'C14H12N2OS', 'full_mwt': '256.33', 'hba': 2, 'hbd': 1, 'heavy_atoms': 18, 'mw_freebase': '256.33', 'np_likeness_score': '-0.97', 'num_ro5_violations': 0, 'psa': '32.34', 'qed_weighted': '0.78', 'ro3_pass': 'N', 'rtb': 0}",5.028724151261895
Inhibition of human recombinant AChE by modified Ellman's spectrophotometric method,CHEMBL1157634,CHEMBL600230,nM,1450000.0,uM,1450.0,"{'alogp': '4.02', 'aromatic_rings': 2, 'full_molformula': 'C15H14N2OS', 'full_mwt': '270.36', 'hba': 2, 'hbd': 1, 'heavy_atoms': 19, 'mw_freebase': '270.36', 'np_likeness_score': '-1.18', 'num_ro5_violations': 0, 'psa': '32.34', 'qed_weighted': '0.85', 'ro3_pass': 'N', 'rtb': 1}",2.838631997765025
Inhibition of human recombinant AChE by modified Ellman's spectrophotometric method,CHEMBL1157634,CHEMBL592185,nM,691000.0,uM,691.0,"{'alogp': '4.41', 'aromatic_rings': 2, 'full_molformula': 'C16H16N2OS', 'full_mwt': '284.38', 'hba': 2, 'hbd': 1, 'heavy_atoms': 20, 'mw_freebase': '284.38', 'np_likeness_score': '-1.11', 'num_ro5_violations': 0, 'psa': '32.34', 'qed_weighted': '0.84', 'ro3_pass': 'N', 'rtb': 1}",3.1605219526258015
Inhibition of human recombinant AChE by modified Ellman's spectrophotometric method,CHEMBL1157634,CHEMBL592674,nM,400000.0,uM,400.0,"{'alogp': '3.97', 'aromatic_rings': 2, 'full_molformula': 'C15H14N2OS', 'full_mwt': '270.36', 'hba': 2, 'hbd': 0, 'heavy_atoms': 19, 'mw_freebase': '270.36', 'np_likeness_score': '-1.05', 'num_ro5_violations': 0, 'psa': '23.55', 'qed_weighted': '0.72', 'ro3_pass': 'N', 'rtb': 0}",3.3979400086720375
Inhibition of human recombinant AChE by modified Ellman's spectrophotometric method,CHEMBL1157634,CHEMBL601282,nM,16300.0,uM,16.3,"{'alogp': '4.34', 'aromatic_rings': 2, 'full_molformula': 'C19H24ClN3OS', 'full_mwt': '377.94', 'hba': 3, 'hbd': 1, 'heavy_atoms': 24, 'mw_freebase': '341.48', 'np_likeness_score': '-1.42', 'num_ro5_violations': 0, 'psa': '35.58', 'qed_weighted': '0.88', 'ro3_pass': 'N', 'rtb': 5}",4.787812395596042
Inhibition of human recombinant AChE by modified Ellman's spectrophotometric method,CHEMBL1157634,CHEMBL605824,nM,810.0,uM,0.81,"{'alogp': '5.12', 'aromatic_rings': 2, 'full_molformula': 'C21H27N3OS', 'full_mwt': '369.53', 'hba': 3, 'hbd': 1, 'heavy_atoms': 26, 'mw_freebase': '369.53', 'np_likeness_score': '-1.31', 'num_ro5_violations': 1, 'psa': '35.58', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 5}",6.0915149811213505
Inhibition of human recombinant AChE by modified Ellman's spectrophotometric method,CHEMBL1157634,CHEMBL589536,nM,29400.0,uM,29.4,"{'alogp': '4.09', 'aromatic_rings': 2, 'full_molformula': 'C19H21N3OS', 'full_mwt': '339.46', 'hba': 3, 'hbd': 1, 'heavy_atoms': 24, 'mw_freebase': '339.46', 'np_likeness_score': '-1.46', 'num_ro5_violations': 0, 'psa': '35.58', 'qed_weighted': '0.91', 'ro3_pass': 'N', 'rtb': 3}",4.531652669587842
Inhibition of human recombinant AChE by modified Ellman's spectrophotometric method,CHEMBL1157634,CHEMBL589563,nM,620.0,uM,0.62,"{'alogp': '4.48', 'aromatic_rings': 2, 'full_molformula': 'C20H23N3OS', 'full_mwt': '353.49', 'hba': 3, 'hbd': 1, 'heavy_atoms': 25, 'mw_freebase': '353.49', 'np_likeness_score': '-1.41', 'num_ro5_violations': 0, 'psa': '35.58', 'qed_weighted': '0.88', 'ro3_pass': 'N', 'rtb': 3}",6.2076083105017466
Inhibition of human erythrocyte AChE after 5 mins by noncompetitive Lineweaver-Burke plot analysis for enzyme-inhibitor complex,CHEMBL1154957,CHEMBL430886,nM,20.0,umol/L,0.02,"{'alogp': '4.47', 'aromatic_rings': 2, 'full_molformula': 'C21H32Br2N2', 'full_mwt': '472.31', 'hba': 0, 'hbd': 0, 'heavy_atoms': 23, 'mw_freebase': '312.50', 'np_likeness_score': '0.01', 'num_ro5_violations': 0, 'psa': '7.76', 'qed_weighted': '0.40', 'ro3_pass': 'N', 'rtb': 12}",7.698970004336019
Inhibition of human erythrocyte AChE after 5 mins by noncompetitive Lineweaver-Burke plot analysis,CHEMBL1154957,CHEMBL430886,nM,30.0,umol/L,0.03,"{'alogp': '4.47', 'aromatic_rings': 2, 'full_molformula': 'C21H32Br2N2', 'full_mwt': '472.31', 'hba': 0, 'hbd': 0, 'heavy_atoms': 23, 'mw_freebase': '312.50', 'np_likeness_score': '0.01', 'num_ro5_violations': 0, 'psa': '7.76', 'qed_weighted': '0.40', 'ro3_pass': 'N', 'rtb': 12}",7.522878745280337
Inhibition of human erythrocyte AChE after 5 mins by noncompetitive Lineweaver-Burke plot analysis for enzyme-inhibitor complex,CHEMBL1154957,CHEMBL1081810,nM,140.0,uM,0.14,"{'alogp': '3.51', 'aromatic_rings': 4, 'full_molformula': 'C22H20Br2N2', 'full_mwt': '472.22', 'hba': 0, 'hbd': 0, 'heavy_atoms': 24, 'mw_freebase': '312.42', 'np_likeness_score': '-0.13', 'num_ro5_violations': 0, 'psa': '7.76', 'qed_weighted': '0.51', 'ro3_pass': 'N', 'rtb': 4}",6.853871964321762
Inhibition of human erythrocyte AChE after 5 mins by noncompetitive Lineweaver-Burke plot analysis,CHEMBL1154957,CHEMBL1081810,nM,140.0,uM,0.14,"{'alogp': '3.51', 'aromatic_rings': 4, 'full_molformula': 'C22H20Br2N2', 'full_mwt': '472.22', 'hba': 0, 'hbd': 0, 'heavy_atoms': 24, 'mw_freebase': '312.42', 'np_likeness_score': '-0.13', 'num_ro5_violations': 0, 'psa': '7.76', 'qed_weighted': '0.51', 'ro3_pass': 'N', 'rtb': 4}",6.853871964321762
Inhibition of AChE (unknown orign) by Lineweaver-Burke plot,CHEMBL1155458,CHEMBL1087194,nM,24.0,nM,24.0,"{'alogp': '2.58', 'aromatic_rings': 2, 'full_molformula': 'C16H19N3O2', 'full_mwt': '285.35', 'hba': 5, 'hbd': 1, 'heavy_atoms': 21, 'mw_freebase': '285.35', 'np_likeness_score': '-0.81', 'num_ro5_violations': 0, 'psa': '78.10', 'qed_weighted': '0.86', 'ro3_pass': 'N', 'rtb': 2}",7.619788758288394
Inhibition of AChE by Ellman's assay,CHEMBL1221246,CHEMBL659,nM,300.0,uM,0.3,"{'alogp': '1.85', 'aromatic_rings': 1, 'full_molformula': 'C17H21NO3', 'full_mwt': '287.36', 'hba': 4, 'hbd': 1, 'heavy_atoms': 21, 'mw_freebase': '287.36', 'np_likeness_score': '2.11', 'num_ro5_violations': 0, 'psa': '41.93', 'qed_weighted': '0.80', 'ro3_pass': 'N', 'rtb': 1}",6.522878745280337
Inhibition of human recombinant AChE using acetylthiocholine as substrate,CHEMBL2157925,CHEMBL659,nM,61.96,nM,61.96,"{'alogp': '1.85', 'aromatic_rings': 1, 'full_molformula': 'C17H21NO3', 'full_mwt': '287.36', 'hba': 4, 'hbd': 1, 'heavy_atoms': 21, 'mw_freebase': '287.36', 'np_likeness_score': '2.11', 'num_ro5_violations': 0, 'psa': '41.93', 'qed_weighted': '0.80', 'ro3_pass': 'N', 'rtb': 1}",7.207888590912831
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL659,nM,61.9,nM,61.9,"{'alogp': '1.85', 'aromatic_rings': 1, 'full_molformula': 'C17H21NO3', 'full_mwt': '287.36', 'hba': 4, 'hbd': 1, 'heavy_atoms': 21, 'mw_freebase': '287.36', 'np_likeness_score': '2.11', 'num_ro5_violations': 0, 'psa': '41.93', 'qed_weighted': '0.80', 'ro3_pass': 'N', 'rtb': 1}",7.208309350979882
Inhibition of acetylcholinesterase (unknown origin) assessed as AChI hydrolysis using AChI and DTNB as substrate by Ellman's method,CHEMBL3585326,CHEMBL659,nM,250.0,uM,0.25,"{'alogp': '1.85', 'aromatic_rings': 1, 'full_molformula': 'C17H21NO3', 'full_mwt': '287.36', 'hba': 4, 'hbd': 1, 'heavy_atoms': 21, 'mw_freebase': '287.36', 'np_likeness_score': '2.11', 'num_ro5_violations': 0, 'psa': '41.93', 'qed_weighted': '0.80', 'ro3_pass': 'N', 'rtb': 1}",6.6020599913279625
Binding affinity to AChE (unknown origin) assessed as inhibition constant,CHEMBL5233206,CHEMBL659,nM,500.0,uM,0.5,"{'alogp': '1.85', 'aromatic_rings': 1, 'full_molformula': 'C17H21NO3', 'full_mwt': '287.36', 'hba': 4, 'hbd': 1, 'heavy_atoms': 21, 'mw_freebase': '287.36', 'np_likeness_score': '2.11', 'num_ro5_violations': 0, 'psa': '41.93', 'qed_weighted': '0.80', 'ro3_pass': 'N', 'rtb': 1}",6.301029995663981
Binding affinity to AChE (unknown origin) assessed as inhibition constant incubated for 30 mins by ellman's method,CHEMBL5233206,CHEMBL659,nM,540.0,uM,0.54,"{'alogp': '1.85', 'aromatic_rings': 1, 'full_molformula': 'C17H21NO3', 'full_mwt': '287.36', 'hba': 4, 'hbd': 1, 'heavy_atoms': 21, 'mw_freebase': '287.36', 'np_likeness_score': '2.11', 'num_ro5_violations': 0, 'psa': '41.93', 'qed_weighted': '0.80', 'ro3_pass': 'N', 'rtb': 1}",6.267606240177032
Inhibition of AChE by Ellman's assay,CHEMBL1221246,CHEMBL558873,nM,860.0,uM,0.86,"{'alogp': None, 'aromatic_rings': None, 'full_molformula': 'C22H31NO4Si', 'full_mwt': '401.58', 'hba': None, 'hbd': None, 'heavy_atoms': None, 'mw_freebase': '401.58', 'np_likeness_score': None, 'num_ro5_violations': None, 'psa': None, 'qed_weighted': None, 'ro3_pass': None, 'rtb': None}",6.0655015487564325
Inhibition of AChE by Ellman's assay,CHEMBL1221246,CHEMBL564408,nM,340.0,uM,0.34,"{'alogp': None, 'aromatic_rings': None, 'full_molformula': 'C24H33NO5Si', 'full_mwt': '443.62', 'hba': None, 'hbd': None, 'heavy_atoms': None, 'mw_freebase': '443.62', 'np_likeness_score': None, 'num_ro5_violations': None, 'psa': None, 'qed_weighted': None, 'ro3_pass': None, 'rtb': None}",6.468521082957745
Inhibition of AChE by Ellman's assay,CHEMBL1221246,CHEMBL251077,nM,430.0,uM,0.43,"{'alogp': '1.32', 'aromatic_rings': 1, 'full_molformula': 'C18H19NO5', 'full_mwt': '329.35', 'hba': 6, 'hbd': 1, 'heavy_atoms': 24, 'mw_freebase': '329.35', 'np_likeness_score': '2.37', 'num_ro5_violations': 0, 'psa': '68.23', 'qed_weighted': '0.62', 'ro3_pass': 'N', 'rtb': 1}",6.366531544420414
Inhibition of AChE by Ellman's assay,CHEMBL1221246,CHEMBL1221975,nM,390.0,uM,0.39,"{'alogp': None, 'aromatic_rings': None, 'full_molformula': 'C29H35NO5Si', 'full_mwt': '505.69', 'hba': None, 'hbd': None, 'heavy_atoms': None, 'mw_freebase': '505.69', 'np_likeness_score': None, 'num_ro5_violations': None, 'psa': None, 'qed_weighted': None, 'ro3_pass': None, 'rtb': None}",6.4089353929735005
Inhibition of AChE by Ellman's assay,CHEMBL1221246,CHEMBL1222025,nM,540.0,uM,0.54,"{'alogp': '2.61', 'aromatic_rings': 2, 'full_molformula': 'C23H21NO5', 'full_mwt': '391.42', 'hba': 6, 'hbd': 1, 'heavy_atoms': 29, 'mw_freebase': '391.42', 'np_likeness_score': '1.73', 'num_ro5_violations': 0, 'psa': '68.23', 'qed_weighted': '0.63', 'ro3_pass': 'N', 'rtb': 2}",6.267606240177032
Inhibition of AChE by Ellman's assay,CHEMBL1221246,CHEMBL1222026,nM,970.0,uM,0.97,"{'alogp': '3.18', 'aromatic_rings': 2, 'full_molformula': 'C25H23NO6', 'full_mwt': '433.46', 'hba': 7, 'hbd': 0, 'heavy_atoms': 32, 'mw_freebase': '433.46', 'np_likeness_score': '1.74', 'num_ro5_violations': 0, 'psa': '74.30', 'qed_weighted': '0.54', 'ro3_pass': 'N', 'rtb': 3}",6.013228265733755
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot,CHEMBL1641598,CHEMBL1642977,nM,90.0,uM,0.09,"{'alogp': '5.90', 'aromatic_rings': 2, 'full_molformula': 'C26H42Br2N2', 'full_mwt': '542.44', 'hba': 0, 'hbd': 0, 'heavy_atoms': 28, 'mw_freebase': '382.64', 'np_likeness_score': '-0.20', 'num_ro5_violations': 1, 'psa': '7.76', 'qed_weighted': '0.38', 'ro3_pass': 'N', 'rtb': 9}",7.045757490560675
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot,CHEMBL1641598,CHEMBL1642988,nM,100.0,uM,0.1,"{'alogp': '6.46', 'aromatic_rings': 2, 'full_molformula': 'C30H36Br2N2', 'full_mwt': '584.44', 'hba': 0, 'hbd': 0, 'heavy_atoms': 32, 'mw_freebase': '424.63', 'np_likeness_score': '0.35', 'num_ro5_violations': 1, 'psa': '7.76', 'qed_weighted': '0.49', 'ro3_pass': 'N', 'rtb': 2}",7.0
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot,CHEMBL1641598,CHEMBL1200970,nM,24700.0,uM,24.7,"{'alogp': '5.02', 'aromatic_rings': 2, 'full_molformula': 'C19H25ClN2S', 'full_mwt': '348.94', 'hba': 3, 'hbd': 0, 'heavy_atoms': 22, 'mw_freebase': '312.48', 'np_likeness_score': '-1.11', 'num_ro5_violations': 1, 'psa': '6.48', 'qed_weighted': '0.77', 'ro3_pass': 'N', 'rtb': 5}",4.607303046740334
